tensor(0.2012, device='cuda:0', dtype=torch.float64)
tensor(0.5561, device='cuda:0', dtype=torch.float64)
tensor(0.6627, device='cuda:0', dtype=torch.float64)
tensor(0.7108, device='cuda:0', dtype=torch.float64)
tensor(0.7403, device='cuda:0', dtype=torch.float64)
tensor(0.7603, device='cuda:0', dtype=torch.float64)
tensor(0.7699, device='cuda:0', dtype=torch.float64)
tensor(0.7841, device='cuda:0', dtype=torch.float64)
tensor(0.7910, device='cuda:0', dtype=torch.float64)
tensor(0.8003, device='cuda:0', dtype=torch.float64)
tensor(0.8039, device='cuda:0', dtype=torch.float64)
tensor(0.8089, device='cuda:0', dtype=torch.float64)
tensor(0.8141, device='cuda:0', dtype=torch.float64)
tensor(0.8203, device='cuda:0', dtype=torch.float64)
tensor(0.8259, device='cuda:0', dtype=torch.float64)
tensor(0.8271, device='cuda:0', dtype=torch.float64)
tensor(0.8287, device='cuda:0', dtype=torch.float64)
tensor(0.8372, device='cuda:0', dtype=torch.float64)
tensor(0.8396, device='cuda:0', dtype=torch.float64)
tensor(0.8420, device='cuda:0', dtype=torch.float64)
tensor(0.8448, device='cuda:0', dtype=torch.float64)
tensor(0.8484, device='cuda:0', dtype=torch.float64)
tensor(0.8510, device='cuda:0', dtype=torch.float64)
tensor(0.8545, device='cuda:0', dtype=torch.float64)
tensor(0.8561, device='cuda:0', dtype=torch.float64)
tensor(0.8574, device='cuda:0', dtype=torch.float64)
tensor(0.8590, device='cuda:0', dtype=torch.float64)
tensor(0.8621, device='cuda:0', dtype=torch.float64)
tensor(0.8636, device='cuda:0', dtype=torch.float64)
tensor(0.8656, device='cuda:0', dtype=torch.float64)
tensor(0.8665, device='cuda:0', dtype=torch.float64)
tensor(0.8663, device='cuda:0', dtype=torch.float64)
tensor(0.8705, device='cuda:0', dtype=torch.float64)
tensor(0.8705, device='cuda:0', dtype=torch.float64)
tensor(0.8732, device='cuda:0', dtype=torch.float64)
tensor(0.8742, device='cuda:0', dtype=torch.float64)
tensor(0.8753, device='cuda:0', dtype=torch.float64)
tensor(0.8793, device='cuda:0', dtype=torch.float64)
tensor(0.8785, device='cuda:0', dtype=torch.float64)
tensor(0.8799, device='cuda:0', dtype=torch.float64)
tensor(0.8804, device='cuda:0', dtype=torch.float64)
tensor(0.8821, device='cuda:0', dtype=torch.float64)
tensor(0.8815, device='cuda:0', dtype=torch.float64)
tensor(0.8843, device='cuda:0', dtype=torch.float64)
tensor(0.8848, device='cuda:0', dtype=torch.float64)
tensor(0.8840, device='cuda:0', dtype=torch.float64)
tensor(0.8867, device='cuda:0', dtype=torch.float64)
tensor(0.8876, device='cuda:0', dtype=torch.float64)
tensor(0.8894, device='cuda:0', dtype=torch.float64)
tensor(0.8889, device='cuda:0', dtype=torch.float64)
tensor(0.8876, device='cuda:0', dtype=torch.float64)
tensor(0.8908, device='cuda:0', dtype=torch.float64)
tensor(0.8889, device='cuda:0', dtype=torch.float64)
tensor(0.8907, device='cuda:0', dtype=torch.float64)
tensor(0.8929, device='cuda:0', dtype=torch.float64)
tensor(0.8920, device='cuda:0', dtype=torch.float64)
tensor(0.8914, device='cuda:0', dtype=torch.float64)
tensor(0.8927, device='cuda:0', dtype=torch.float64)
tensor(0.8937, device='cuda:0', dtype=torch.float64)
tensor(0.8957, device='cuda:0', dtype=torch.float64)
tensor(0.8961, device='cuda:0', dtype=torch.float64)
tensor(0.8993, device='cuda:0', dtype=torch.float64)
tensor(0.8963, device='cuda:0', dtype=torch.float64)
tensor(0.8978, device='cuda:0', dtype=torch.float64)
tensor(0.8996, device='cuda:0', dtype=torch.float64)
tensor(0.8977, device='cuda:0', dtype=torch.float64)
tensor(0.8975, device='cuda:0', dtype=torch.float64)
tensor(0.8992, device='cuda:0', dtype=torch.float64)
tensor(0.9000, device='cuda:0', dtype=torch.float64)
tensor(0.9019, device='cuda:0', dtype=torch.float64)
tensor(0.9032, device='cuda:0', dtype=torch.float64)
tensor(0.9035, device='cuda:0', dtype=torch.float64)
tensor(0.9041, device='cuda:0', dtype=torch.float64)
tensor(0.9039, device='cuda:0', dtype=torch.float64)
tensor(0.9024, device='cuda:0', dtype=torch.float64)
tensor(0.9044, device='cuda:0', dtype=torch.float64)
tensor(0.9063, device='cuda:0', dtype=torch.float64)
tensor(0.9045, device='cuda:0', dtype=torch.float64)
tensor(0.9052, device='cuda:0', dtype=torch.float64)
tensor(0.9050, device='cuda:0', dtype=torch.float64)
tensor(0.9076, device='cuda:0', dtype=torch.float64)
tensor(0.9055, device='cuda:0', dtype=torch.float64)
tensor(0.9039, device='cuda:0', dtype=torch.float64)
tensor(0.9072, device='cuda:0', dtype=torch.float64)
tensor(0.9087, device='cuda:0', dtype=torch.float64)
tensor(0.9082, device='cuda:0', dtype=torch.float64)
tensor(0.9087, device='cuda:0', dtype=torch.float64)
tensor(0.9102, device='cuda:0', dtype=torch.float64)
tensor(0.9095, device='cuda:0', dtype=torch.float64)
tensor(0.9103, device='cuda:0', dtype=torch.float64)
tensor(0.9096, device='cuda:0', dtype=torch.float64)
tensor(0.9103, device='cuda:0', dtype=torch.float64)
tensor(0.9135, device='cuda:0', dtype=torch.float64)
tensor(0.9118, device='cuda:0', dtype=torch.float64)
tensor(0.9130, device='cuda:0', dtype=torch.float64)
tensor(0.9134, device='cuda:0', dtype=torch.float64)
tensor(0.9115, device='cuda:0', dtype=torch.float64)
tensor(0.9143, device='cuda:0', dtype=torch.float64)
tensor(0.9130, device='cuda:0', dtype=torch.float64)
tensor(0.9147, device='cuda:0', dtype=torch.float64)
