tensor(0.3924, device='cuda:0', dtype=torch.float64)
tensor(0.6573, device='cuda:0', dtype=torch.float64)
tensor(0.7614, device='cuda:0', dtype=torch.float64)
tensor(0.7993, device='cuda:0', dtype=torch.float64)
tensor(0.7981, device='cuda:0', dtype=torch.float64)
tensor(0.8175, device='cuda:0', dtype=torch.float64)
tensor(0.8264, device='cuda:0', dtype=torch.float64)
tensor(0.7621, device='cuda:0', dtype=torch.float64)
tensor(0.8174, device='cuda:0', dtype=torch.float64)
tensor(0.8208, device='cuda:0', dtype=torch.float64)
tensor(0.8236, device='cuda:0', dtype=torch.float64)
tensor(0.8110, device='cuda:0', dtype=torch.float64)
tensor(0.8389, device='cuda:0', dtype=torch.float64)
tensor(0.8414, device='cuda:0', dtype=torch.float64)
tensor(0.8223, device='cuda:0', dtype=torch.float64)
tensor(0.8409, device='cuda:0', dtype=torch.float64)
tensor(0.8410, device='cuda:0', dtype=torch.float64)
tensor(0.8413, device='cuda:0', dtype=torch.float64)
tensor(0.8243, device='cuda:0', dtype=torch.float64)
tensor(0.8424, device='cuda:0', dtype=torch.float64)
tensor(0.8341, device='cuda:0', dtype=torch.float64)
tensor(0.8427, device='cuda:0', dtype=torch.float64)
tensor(0.8422, device='cuda:0', dtype=torch.float64)
tensor(0.8437, device='cuda:0', dtype=torch.float64)
tensor(0.8448, device='cuda:0', dtype=torch.float64)
tensor(0.8183, device='cuda:0', dtype=torch.float64)
tensor(0.7952, device='cuda:0', dtype=torch.float64)
tensor(0.8427, device='cuda:0', dtype=torch.float64)
tensor(0.8447, device='cuda:0', dtype=torch.float64)
tensor(0.3077, device='cuda:0', dtype=torch.float64)
tensor(0.5390, device='cuda:0', dtype=torch.float64)
tensor(0.6810, device='cuda:0', dtype=torch.float64)
tensor(0.7106, device='cuda:0', dtype=torch.float64)
tensor(0.4141, device='cuda:0', dtype=torch.float64)
tensor(0.1066, device='cuda:0', dtype=torch.float64)
tensor(0.2161, device='cuda:0', dtype=torch.float64)
tensor(0.2559, device='cuda:0', dtype=torch.float64)
tensor(0.2830, device='cuda:0', dtype=torch.float64)
tensor(0.3038, device='cuda:0', dtype=torch.float64)
tensor(0.3100, device='cuda:0', dtype=torch.float64)
tensor(0.3117, device='cuda:0', dtype=torch.float64)
tensor(0.3102, device='cuda:0', dtype=torch.float64)
tensor(0.3121, device='cuda:0', dtype=torch.float64)
tensor(0.3127, device='cuda:0', dtype=torch.float64)
tensor(0.3210, device='cuda:0', dtype=torch.float64)
tensor(0.3211, device='cuda:0', dtype=torch.float64)
tensor(0.3210, device='cuda:0', dtype=torch.float64)
tensor(0.3237, device='cuda:0', dtype=torch.float64)
tensor(0.3229, device='cuda:0', dtype=torch.float64)
tensor(0.3147, device='cuda:0', dtype=torch.float64)
tensor(0.3132, device='cuda:0', dtype=torch.float64)
tensor(0.3250, device='cuda:0', dtype=torch.float64)
tensor(0.2742, device='cuda:0', dtype=torch.float64)
tensor(0.3097, device='cuda:0', dtype=torch.float64)
tensor(0.3202, device='cuda:0', dtype=torch.float64)
tensor(0.3247, device='cuda:0', dtype=torch.float64)
tensor(0.3199, device='cuda:0', dtype=torch.float64)
tensor(0.3221, device='cuda:0', dtype=torch.float64)
tensor(0.3216, device='cuda:0', dtype=torch.float64)
tensor(0.3250, device='cuda:0', dtype=torch.float64)
tensor(0.3203, device='cuda:0', dtype=torch.float64)
tensor(0.3249, device='cuda:0', dtype=torch.float64)
tensor(0.3210, device='cuda:0', dtype=torch.float64)
tensor(0.1206, device='cuda:0', dtype=torch.float64)
tensor(0.0589, device='cuda:0', dtype=torch.float64)
tensor(0.0772, device='cuda:0', dtype=torch.float64)
