tensor(0.0562, device='cuda:0', dtype=torch.float64)
tensor(0.0755, device='cuda:0', dtype=torch.float64)
tensor(0.0447, device='cuda:0', dtype=torch.float64)
tensor(0.0824, device='cuda:0', dtype=torch.float64)
tensor(0.0968, device='cuda:0', dtype=torch.float64)
tensor(0.0751, device='cuda:0', dtype=torch.float64)
tensor(0.0907, device='cuda:0', dtype=torch.float64)
tensor(0.0946, device='cuda:0', dtype=torch.float64)
tensor(0.0923, device='cuda:0', dtype=torch.float64)
tensor(0.0961, device='cuda:0', dtype=torch.float64)
tensor(0.0762, device='cuda:0', dtype=torch.float64)
tensor(0.0752, device='cuda:0', dtype=torch.float64)
tensor(0.0482, device='cuda:0', dtype=torch.float64)
tensor(0.0427, device='cuda:0', dtype=torch.float64)
tensor(0.0430, device='cuda:0', dtype=torch.float64)
tensor(0.0444, device='cuda:0', dtype=torch.float64)
tensor(0.0641, device='cuda:0', dtype=torch.float64)
tensor(0.0528, device='cuda:0', dtype=torch.float64)
tensor(0.0489, device='cuda:0', dtype=torch.float64)
tensor(0.0655, device='cuda:0', dtype=torch.float64)
tensor(0.0511, device='cuda:0', dtype=torch.float64)
tensor(0.0455, device='cuda:0', dtype=torch.float64)
tensor(0.0425, device='cuda:0', dtype=torch.float64)
tensor(0.0576, device='cuda:0', dtype=torch.float64)
tensor(0.0601, device='cuda:0', dtype=torch.float64)
tensor(0.0577, device='cuda:0', dtype=torch.float64)
tensor(0.0545, device='cuda:0', dtype=torch.float64)
tensor(0.0413, device='cuda:0', dtype=torch.float64)
tensor(0.0349, device='cuda:0', dtype=torch.float64)
tensor(0.0504, device='cuda:0', dtype=torch.float64)
tensor(0.0548, device='cuda:0', dtype=torch.float64)
tensor(0.0433, device='cuda:0', dtype=torch.float64)
tensor(0.0629, device='cuda:0', dtype=torch.float64)
tensor(0.0635, device='cuda:0', dtype=torch.float64)
tensor(0.0578, device='cuda:0', dtype=torch.float64)
tensor(0.0551, device='cuda:0', dtype=torch.float64)
tensor(0.0829, device='cuda:0', dtype=torch.float64)
tensor(0.0583, device='cuda:0', dtype=torch.float64)
tensor(0.0380, device='cuda:0', dtype=torch.float64)
tensor(0.0744, device='cuda:0', dtype=torch.float64)
tensor(0.0488, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
tensor(0.0480, device='cuda:0', dtype=torch.float64)
