tensor(0.4388, device='cuda:0', dtype=torch.float64)
tensor(0.6615, device='cuda:0', dtype=torch.float64)
tensor(0.7173, device='cuda:0', dtype=torch.float64)
tensor(0.6452, device='cuda:0', dtype=torch.float64)
tensor(0.5214, device='cuda:0', dtype=torch.float64)
tensor(0.6766, device='cuda:0', dtype=torch.float64)
tensor(0.6010, device='cuda:0', dtype=torch.float64)
tensor(0.6652, device='cuda:0', dtype=torch.float64)
tensor(0.6738, device='cuda:0', dtype=torch.float64)
tensor(0.7461, device='cuda:0', dtype=torch.float64)
tensor(0.7275, device='cuda:0', dtype=torch.float64)
tensor(0.8028, device='cuda:0', dtype=torch.float64)
tensor(0.8168, device='cuda:0', dtype=torch.float64)
tensor(0.8154, device='cuda:0', dtype=torch.float64)
tensor(0.8353, device='cuda:0', dtype=torch.float64)
tensor(0.8379, device='cuda:0', dtype=torch.float64)
tensor(0.7521, device='cuda:0', dtype=torch.float64)
tensor(0.8423, device='cuda:0', dtype=torch.float64)
tensor(0.8450, device='cuda:0', dtype=torch.float64)
tensor(0.8468, device='cuda:0', dtype=torch.float64)
tensor(0.8474, device='cuda:0', dtype=torch.float64)
tensor(0.8473, device='cuda:0', dtype=torch.float64)
tensor(0.8163, device='cuda:0', dtype=torch.float64)
tensor(0.8492, device='cuda:0', dtype=torch.float64)
tensor(0.8489, device='cuda:0', dtype=torch.float64)
tensor(0.8500, device='cuda:0', dtype=torch.float64)
tensor(0.8464, device='cuda:0', dtype=torch.float64)
tensor(0.8500, device='cuda:0', dtype=torch.float64)
tensor(0.8506, device='cuda:0', dtype=torch.float64)
tensor(0.8381, device='cuda:0', dtype=torch.float64)
tensor(0.8503, device='cuda:0', dtype=torch.float64)
tensor(0.8510, device='cuda:0', dtype=torch.float64)
tensor(0.8500, device='cuda:0', dtype=torch.float64)
tensor(0.8509, device='cuda:0', dtype=torch.float64)
tensor(0.7595, device='cuda:0', dtype=torch.float64)
tensor(0.8250, device='cuda:0', dtype=torch.float64)
tensor(0.8503, device='cuda:0', dtype=torch.float64)
tensor(0.8508, device='cuda:0', dtype=torch.float64)
tensor(0.8515, device='cuda:0', dtype=torch.float64)
tensor(0.8526, device='cuda:0', dtype=torch.float64)
tensor(0.8498, device='cuda:0', dtype=torch.float64)
tensor(0.8527, device='cuda:0', dtype=torch.float64)
tensor(0.8072, device='cuda:0', dtype=torch.float64)
tensor(0.8522, device='cuda:0', dtype=torch.float64)
tensor(0.8529, device='cuda:0', dtype=torch.float64)
tensor(0.8507, device='cuda:0', dtype=torch.float64)
tensor(0.8519, device='cuda:0', dtype=torch.float64)
tensor(0.8524, device='cuda:0', dtype=torch.float64)
tensor(0.8539, device='cuda:0', dtype=torch.float64)
tensor(0.8534, device='cuda:0', dtype=torch.float64)
tensor(0.8223, device='cuda:0', dtype=torch.float64)
tensor(0.8542, device='cuda:0', dtype=torch.float64)
tensor(0.8541, device='cuda:0', dtype=torch.float64)
tensor(0.8105, device='cuda:0', dtype=torch.float64)
tensor(0.8536, device='cuda:0', dtype=torch.float64)
tensor(0.8545, device='cuda:0', dtype=torch.float64)
tensor(0.8524, device='cuda:0', dtype=torch.float64)
tensor(0.8552, device='cuda:0', dtype=torch.float64)
tensor(0.8400, device='cuda:0', dtype=torch.float64)
tensor(0.8534, device='cuda:0', dtype=torch.float64)
tensor(0.8567, device='cuda:0', dtype=torch.float64)
tensor(0.8229, device='cuda:0', dtype=torch.float64)
tensor(0.8558, device='cuda:0', dtype=torch.float64)
tensor(0.8550, device='cuda:0', dtype=torch.float64)
tensor(0.8550, device='cuda:0', dtype=torch.float64)
tensor(0.8567, device='cuda:0', dtype=torch.float64)
tensor(0.8478, device='cuda:0', dtype=torch.float64)
tensor(0.8556, device='cuda:0', dtype=torch.float64)
tensor(0.8553, device='cuda:0', dtype=torch.float64)
tensor(0.8185, device='cuda:0', dtype=torch.float64)
tensor(0.8440, device='cuda:0', dtype=torch.float64)
tensor(0.8550, device='cuda:0', dtype=torch.float64)
tensor(0.8568, device='cuda:0', dtype=torch.float64)
tensor(0.8564, device='cuda:0', dtype=torch.float64)
tensor(0.8562, device='cuda:0', dtype=torch.float64)
tensor(0.8494, device='cuda:0', dtype=torch.float64)
tensor(0.8568, device='cuda:0', dtype=torch.float64)
tensor(0.8562, device='cuda:0', dtype=torch.float64)
tensor(0.8570, device='cuda:0', dtype=torch.float64)
tensor(0.8576, device='cuda:0', dtype=torch.float64)
tensor(0.8568, device='cuda:0', dtype=torch.float64)
tensor(0.8570, device='cuda:0', dtype=torch.float64)
tensor(0.8573, device='cuda:0', dtype=torch.float64)
tensor(0.8574, device='cuda:0', dtype=torch.float64)
tensor(0.8572, device='cuda:0', dtype=torch.float64)
tensor(0.8573, device='cuda:0', dtype=torch.float64)
tensor(0.8403, device='cuda:0', dtype=torch.float64)
tensor(0.8541, device='cuda:0', dtype=torch.float64)
tensor(0.8385, device='cuda:0', dtype=torch.float64)
tensor(0.8572, device='cuda:0', dtype=torch.float64)
tensor(0.8453, device='cuda:0', dtype=torch.float64)
tensor(0.8590, device='cuda:0', dtype=torch.float64)
tensor(0.8588, device='cuda:0', dtype=torch.float64)
tensor(0.8585, device='cuda:0', dtype=torch.float64)
tensor(0.8582, device='cuda:0', dtype=torch.float64)
tensor(0.8543, device='cuda:0', dtype=torch.float64)
tensor(0.8570, device='cuda:0', dtype=torch.float64)
tensor(0.8588, device='cuda:0', dtype=torch.float64)
tensor(0.8591, device='cuda:0', dtype=torch.float64)
tensor(0.8590, device='cuda:0', dtype=torch.float64)
